"review_id","date","job_title","location","employment_status","rating","headline","pros","cons","recommend","ceo_approval","business_outlook","page","employer_name","employer_id","market"
"104103486","25. Mai 2026","Sales specialist","Zürich","Ehemaliger Mitarbeiter, weniger als 1 Jahr","4.0","Ethical employer","- Generous employee discounts and benefits - Lots of interesting tasks to do and jobs to learn - Positive, energetic atmosphere","- Initial training too short - Lots of micromanagement - Not enough possibilities to learn on your own terms outside of work schedule","positive","positive","positive",1,"Apple","1138","DE"
"103713182","25. Apr. 2026","Business expert","Hamburg","Ehemaliger Mitarbeiter, mehr als 8 Jahre","5.0","Beste Arbeitgeber in DE","das gesamte Konzept und die Wichtigkeit des Personal.","Du bist ein Nummer in der Zentrale","positive","none","positive",1,"Apple","1138","DE"
"103207579","17. März 2026","Customer service specialist","Berlin","Ehemaliger Mitarbeiter","5.0","Decent pay","Pretty good pay for a student","The environment is too stressful","none","none","none",1,"Apple","1138","DE"
"102400232","21. Jan. 2026","Retail specialist","Frankfurt am Main","Ehemaliger Mitarbeiter, weniger als 1 Jahr","5.0","guter Arbeitsgeber und noch besseres Team","- Sehr guter und respektvoller Umgang und man kann Spass mit dem Team haben - viele Benifits (Essensvoucher, Rabatte) - gute Feedback Kultur","- eig ist alles gut da","none","none","none",1,"Apple","1138","DE"
"102297691","16. Jan. 2026","Sales associate","Berlin","Ehemaliger Mitarbeiter, mehr als 1 Jahr","4.0","!","Tolle team, international work place, sehr professional","sehr viele arbeitbelastung , weinger mitarbeiter für anzahl der nachfrage","positive","neutral","neutral",1,"Apple","1138","DE"
"102233131","13. Jan. 2026","Ml engineer","Zürich","Aktueller Mitarbeiter, mehr als 3 Jahre","5.0","Great company to work for!","interesting and challenging work, good salary (though not as high as some big-tech), lots of autonomy, great coffee, nice people, lots of flexibility","a lot of work sometimes! sometimes evening work due to time difference","none","none","none",2,"Apple","1138","DE"
"101939821","22. Dez. 2025","Einzelhandelskaufmann","Hannover","Aktueller Mitarbeiter","5.0","Atmosphär","Sehr gut und man wird gut behandelt","Leider wenig Zeit für Mitarbeiter","positive","positive","positive",2,"Apple","1138","DE"
"101764054","11. Dez. 2025","Technical expert","Berlin","Aktueller Mitarbeiter, mehr als 5 Jahre","3.0","nicht mehr das, was es mal war","cooles Team, viele Benefits, Vergünstigungen","schlechtes Management, zu viel Stress und Druck, unfreundliche Kunden, viele Kundeneskalationen, extrem viel Kundenkontakt, zu hohe Erwartungen für zu wenig Gehalt,","negative","negative","positive",2,"Apple","1138","DE"
"101750086","10. Dez. 2025","Technical specialist","Germany","Aktueller Mitarbeiter, mehr als 1 Jahr","4.0","Job","Super job macht spaß
man lernt Probleme zu lösen","leider zu wenig Freizeit an Wochenenden","none","none","positive",2,"Apple","1138","DE"
"101726125","9. Dez. 2025","Data analyst","Peking, Peking","Aktueller Mitarbeiter, mehr als 1 Jahr","5.0","super good company","wlb, snacks, ncie colleagues, user friendly system, good equipement","salary not as expected, high pressure during some shopping festivals","positive","positive","positive",2,"Apple","1138","DE"
